team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,57
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Field,Delhi Daredevils,MA Chidambaram Stadium,Humid,58
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,59
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,60
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,61
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Royal Challengers Bangalore,Field,Bat,Kings XI Punjab,M Chinnaswamy Stadium,Humid,62
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Rajasthan Royals,Field,Bat,Mumbai Indians,Dr DY Patil Sports Academy,Sunny,63
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Field,Bat,Chennai Super Kings,Feroz Shah Kotla,Humid,64
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,65
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Field,Bat,Mumbai Indians,M Chinnaswamy Stadium,Sunny,66
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Field,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,67
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,68
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,69
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Kolkata Knight Riders,Eden Gardens,Humid,70
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Field,Bat,Mumbai Indians,Wankhede Stadium,Dry,71
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Field,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,72
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Field,Bat,Mumbai Indians,Wankhede Stadium,Sunny,73
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Field,Kings XI Punjab,Feroz Shah Kotla,Sunny,74
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,75
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Field,Chennai Super Kings,Eden Gardens,Sunny,76
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore,Field,Bat,Delhi Daredevils,M Chinnaswamy Stadium,Humid,77
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Field,Bat,Rajasthan Royals,Eden Gardens,Dry,78
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Field,Bat,Kings XI Punjab,Wankhede Stadium,Sunny,79
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Field,Royal Challengers Bangalore,MA Chidambaram Stadium,Dry,80
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Delhi Daredevils,Feroz Shah Kotla,Dry,81
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Rajasthan Royals,MA Chidambaram Stadium,Dry,82
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,Eden Gardens,Dry,83
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Field,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,84
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Field,Bat,Rajasthan Royals,Wankhede Stadium,Dry,85
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Field,Chennai Super Kings,Wankhede Stadium,Dry,86
