bowler,id,econ,wickets,matches,count,balls_per_wicket,SR
KMDN Kulasekara,310,1.142857143,5,5,105,21,24
T Thushara,311,1.141843972,8,6,141,17.625,20.125
R Rampaul,312,1.140221402,16,12,271,16.9375,19.3125
T Henderson,313,1.138888889,1,2,36,36,41
DL Vettori,314,1.138601036,28,34,772,27.57142857,31.39285714
Mohammad Hafeez,315,1.133333333,2,4,60,30,34
RN ten Doeschate,316,1.13253012,2,10,83,41.5,47
RE van der Merwe,317,1.128089888,21,21,445,21.19047619,23.9047619
SP Narine,318,1.124318005,122,109,2566,21.03278689,23.64754098
RD Chahar,319,1.124242424,15,15,330,22,24.73333333
R Ashwin,320,1.12286002,125,136,2979,23.832,26.76
PD Collingwood,321,1.122222222,5,6,90,18,20.2
I Sodhi,322,1.121546961,9,8,181,20.11111111,22.55555556
Rashid Khan,323,1.120293848,55,46,1089,19.8,22.18181818
GD McGrath,324,1.115625,12,14,320,26.66666667,29.75
M Muralitharan,325,1.110894942,64,66,1542,24.09375,26.765625
LH Ferguson,326,1.107142857,3,4,84,28,31
SM Harwood,327,1.106060606,3,3,66,22,24.33333333
DW Steyn,328,1.105166052,96,92,2168,22.58333333,24.95833333
A Kumble,329,1.102083333,45,42,960,21.33333333,23.51111111
J Yadav,330,1.097777778,5,12,225,45,49.4
SM Pollock,331,1.093189964,11,13,279,25.36363636,27.72727273
MJ Clarke,332,1.092307692,2,5,65,32.5,35.5
SMSM Senanayake,333,1.082901554,9,8,193,21.44444444,23.22222222
JW Hastings,334,1.081967213,3,3,61,20.33333333,22
FH Edwards,335,1.061643836,5,6,146,29.2,31
GH Vihari,336,1.055555556,1,5,36,36,38
A Chandila,337,1.043103448,11,12,232,21.09090909,22
Sohail Tanvir,338,1.03875969,22,11,258,11.72727273,12.18181818
L Ngidi,339,1.037735849,11,7,159,14.45454545,15
A Roy,340,0.933333333,1,1,15,15,14
DJ Thornely,341,0.909090909,3,4,44,14.66666667,13.33333333
LA Carseldine,342,0.857142857,1,1,7,7,6
SS Mundhe,343,0.857142857,1,1,7,7,6
AM Rahane,344,0.833333333,1,1,6,6,5
Sachin Baby,345,0.8,2,2,10,5,4
NB Singh,346,0.681818182,1,2,22,22,15
AC Gilchrist,347,0,1,1,1,1,0
