team1,team2,toss_winner,toss_decision,match_winner,venue,weather,win_by_runs,win_by_wickets,id
Rajasthan Royals,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Sunny,0,5,408
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Kolkata Knight Riders,Eden Gardens,Sunny,28,0,409
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Brabourne Stadium,Sunny,0,7,410
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Kings XI Punjab,Wankhede Stadium,Sunny,24,0,411
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,0,3,412
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,7,413
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,1,0,414
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Rajasthan Royals,Maharashtra Cricket Association Stadium,Sunny,26,0,415
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,45,0,416
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Eden Gardens,Humid,0,3,417
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Feroz Shah Kotla,Sunny,0,3,418
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Kings XI Punjab,Wankhede Stadium,Sunny,18,0,419
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunny,0,8,420
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Rajasthan Royals,Sardar Patel Stadium,Sunny,0,7,421
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,7,422
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Delhi Daredevils,Maharashtra Cricket Association Stadium,Humid,0,5,423
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,0,6,424
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Chennai Super Kings,Wankhede Stadium,Sunny,0,6,425
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,4,0,426
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Humid,0,4,427
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Rajasthan Royals,Sardar Patel Stadium,Sunny,0,8,428
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,18,0,429
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Feroz Shah Kotla,Sunny,0,6,430
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Sardar Patel Stadium,Sunny,0,0,431
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,16,0,432
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Chennai Super Kings,M Chinnaswamy Stadium,Sunny,27,0,433
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,37,0,434
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Sardar Patel Stadium,Humid,0,9,435
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Sunny,20,0,436
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,97,0,437
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Sunny,0,10,438
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunny,20,0,439
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,13,0,440
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,2,0,441
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Humid,0,9,442
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Mumbai Indians,Wankhede Stadium,Sunny,8,0,443
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,0,7,444
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,22,0,445
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,23,0,446
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Rajasthan Royals,Brabourne Stadium,Sunny,14,0,447
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Humid,24,0,448
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Kolkata Knight Riders,Eden Gardens,Sunny,35,0,449
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Mumbai Indians,Wankhede Stadium,Sunny,0,5,450
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,138,0,451
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Sunrisers Hyderabad,Brabourne Stadium,Sunny,7,0,452
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Mumbai Indians,MA Chidambaram Stadium,Humid,0,6,453
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Kolkata Knight Riders,Eden Gardens,Sunny,0,1,454
Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Sunny,6,0,455
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Wankhede Stadium,Sunny,39,0,456
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Chennai Super Kings,MA Chidambaram Stadium,Sunny,12,0,457
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,5,0,458
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Humid,0,6,459
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,22,0,460
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Mumbai Indians,Wankhede Stadium,Sunny,5,0,461
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Sunny,0,6,462
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Chennai Super Kings,Punjab Cricket Association Stadium,Sunny,0,7,463
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Rajasthan Royals,Brabourne Stadium,Sunny,9,0,464
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Bat,Mumbai Indians,Rajiv Gandhi International Stadium,Humid,0,9,465
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Sunny,25,0,466
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Sunny,71,0,467
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,JSCA International Stadium Complex,Sunny,0,3,468
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,Eden Gardens,Sunny,41,0,469
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,9,470
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Punjab Cricket Association Stadium,Sunny,0,5,471
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,45,0,472
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Eden Gardens,Humid,0,6,473
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,0,8,474
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,0,8,475
Mumbai Indians,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Wankhede Stadium,Sunny,0,3,476
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,M Chinnaswamy Stadium,Humid,0,7,477
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,7,478
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Punjab Cricket Association Stadium,Sunny,0,6,479
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Sunny,0,6,480
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Humid,0,10,481
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,10,0,482
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,5,483
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,Bat,Gujarat Lions,Saurashtra Cricket Association Stadium,Sunny,0,6,484
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Mumbai Indians,Punjab Cricket Association Stadium,Sunny,25,0,485
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Field,Gujarat Lions,Feroz Shah Kotla,Humid,1,0,486
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Sunny,0,6,487
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,27,0,488
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,15,0,489
Kings XI Punjab,Gujarat Lions,Gujarat Lions,Field,Kings XI Punjab,Saurashtra Cricket Association Stadium,Humid,23,0,490
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,0,5,491
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Saurashtra Cricket Association Stadium,Sunny,0,8,492
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Kolkata Knight Riders,Eden Gardens,Sunny,7,0,493
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,5,494
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Humid,9,0,495
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,85,0,496
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Eden Gardens,Sunny,0,5,497
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Sunny,1,0,498
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,M Chinnaswamy Stadium,Sunny,0,6,499
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Rajiv Gandhi International Stadium,Sunny,0,7,500
Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,0,7,501
Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,144,0,502
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Humid,0,7,503
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunny,80,0,504
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Eden Gardens,Sunny,0,9,505
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,82,0,506
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Green Park,Sunny,0,6,507
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Sunny,0,6,508
Mumbai Indians,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Green Park,Humid,0,6,509
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Kolkata Knight Riders,Eden Gardens,Sunny,22,0,510
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Sunny,0,6,511
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,0,4,512
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Feroz Shah Kotla,Sunny,22,0,513
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Feroz Shah Kotla,Humid,0,4,514
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunny,8,0,515
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Wankhede Stadium,Sunny,0,1,516
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,0,6,517
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Humid,0,4,518
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,9,519
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,MA Chidambaram Stadium,Sunny,0,5,520
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,10,0,521
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,1,522
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,4,523
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Delhi Daredevils,Wankhede Stadium,Sunny,0,7,524
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Eden Gardens,Sunny,0,5,525
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Rajasthan Royals,M Chinnaswamy Stadium,Sunny,19,0,526
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,4,0,527
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Field,Kolkata Knight Riders,Eden Gardens,Sunny,71,0,528
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Mumbai Indians,Wankhede Stadium,Humid,46,0,529
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,0,7,530
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,Bat,Kings XI Punjab,Punjab Cricket Association Stadium,Sunny,15,0,531
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Sunny,64,0,532
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Eden Gardens,Sunny,0,9,533
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Humid,0,6,534
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Chennai Super Kings,Rajiv Gandhi International Stadium,Sunny,4,0,535
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,3,536
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Kings XI Punjab,Feroz Shah Kotla,Sunny,4,0,537
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Sunrisers Hyderabad,Wankhede Stadium,Sunny,31,0,538
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,M Chinnaswamy Stadium,Humid,0,5,539
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,13,0,540
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,55,0,541
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Maharashtra Cricket Association Stadium,Sunny,0,8,542
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunny,11,0,543
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,M Chinnaswamy Stadium,Sunny,0,6,544
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Humid,13,0,545
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunny,14,0,546
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,4,0,547
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,6,548
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Holkar Cricket Stadium,Humid,0,6,549
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Sunny,0,6,550
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,0,7,551
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Mumbai Indians,Wankhede Stadium,Humid,13,0,552
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,Holkar Cricket Stadium,Sunny,0,6,553
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunny,5,0,554
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,15,0,555
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Mumbai Indians,Eden Gardens,Sunny,102,0,556
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Bat,Sunrisers Hyderabad,Feroz Shah Kotla,Sunny,0,9,557
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Humid,0,4,558
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Kolkata Knight Riders,Holkar Cricket Stadium,Sunny,31,0,559
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Feroz Shah Kotla,Humid,0,5,560
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Humid,0,8,561
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Wankhede Stadium,Sunny,0,7,562
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,Holkar Cricket Stadium,Sunny,0,10,563
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Sunny,0,6,564
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Mumbai Indians,Wankhede Stadium,Humid,3,0,565
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Dry,14,0,566
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Delhi Daredevils,Feroz Shah Kotla,Sunny,34,0,567
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,30,0,568
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Sunny,0,5,569
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Delhi Daredevils,Feroz Shah Kotla,Humid,11,0,570
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Maharashtra Cricket Association Stadium,Dry,0,5,571
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Wankhede Stadium,Sunny,0,2,572
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Kolkata Knight Riders,Eden Gardens,Sunny,25,0,573
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Eden Gardens,Sunny,14,0,574
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Wankhede Stadium,Sunny,0,8,575
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Humid,0,7,576
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Eden Gardens,Dry,0,6,577
Delhi Capitals,Mumbai Indians,Mumbai Indians,Field,Delhi Capitals,Wankhede Stadium,Sunny,37,0,578
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Kings XI Punjab,Sawai Mansingh Stadium,Sunny,14,0,579
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Bat,Chennai Super Kings,Feroz Shah Kotla Ground,Sunny,0,6,580
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Field,Kolkata Knight Riders,Eden Gardens,Sunny,28,0,581
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Mumbai Indians,M. Chinnaswamy Stadium,Sunny,6,0,582
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,0,5,583
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,IS Bindra Stadium,Sunny,0,8,584
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Feroz Shah Kotla Ground,Humid,0,0,585
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Dry,118,0,586
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Sunny,8,0,587
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Field,Kings XI Punjab,IS Bindra Stadium,Sunny,14,0,588
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,7,589
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,Wankhede Stadium,Sunny,37,0,590
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Feroz Shah Kotla Ground,Humid,0,5,591
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,M. Chinnaswamy Stadium,Dry,0,5,592
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Chennai Super Kings,M. A. Chidambaram Stadium,Sunny,22,0,593
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Sunny,40,0,594
Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,M. Chinnaswamy Stadium,Sunny,0,4,595
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunny,0,8,596
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,IS Bindra Stadium,Sunny,0,6,597
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Humid,0,7,598
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Dry,0,3,599
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Sawai Mansingh Stadium,Sunny,0,4,600
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Eden Gardens,Sunny,0,7,601
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Wankhede Stadium,Humid,0,4,602
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,IS Bindra Stadium,Dry,0,8,603
